id_building,energy_site_eui_post_odcv
BOS_104155,166.5
BOS_104156,98.6
BOS_104158,23.0
BOS_104159,10.7
BOS_104208,35.9
BOS_104223,102.9
BOS_104225,52.5
BOS_104232,63.9
BOS_104234,87.2
BOS_104235,222.3
BOS_104238,44.2
BOS_104253,66.0
BOS_104256,58.2
BOS_104264,55.7
BOS_104308,115.6
BOS_104362,34.2
BOS_104365,57.0
BOS_104367,29.7
BOS_104368,6.9
BOS_104374,62.3
BOS_104376,54.6
BOS_104389,42.9
BOS_104390,40.0
BOS_104398,67.2
BOS_104405,89.6
BOS_104416,52.4
BOS_104417,77.0
BOS_104419,68.0
BOS_104421,18.6
BOS_104428,45.0
BOS_104488,59.1
BOS_104498,39.7
BOS_104512,136.7
BOS_104516,30.6
BOS_104517,41.3
BOS_104519,35.6
BOS_104521,194.0
BOS_104522,180.1
BOS_104523,34.7
BOS_104526,64.9
BOS_104528,84.1
BOS_104539,38.6
BOS_104541,106.9
BOS_104545,26.2
BOS_104546,38.7
BOS_104549,116.9
BOS_104550,247.0
BOS_104581,75.5
BOS_104590,36.0
BOS_104592,73.3
BOS_104593,107.8
BOS_104596,161.8
BOS_104597,85.2
BOS_104598,221.6
BOS_104599,108.5
BOS_104600,98.9
BOS_104601,94.6
BOS_104618,137.0
BOS_104638,27.6
BOS_104645,97.0
BOS_104659,28.1
BOS_104669,60.0
BOS_104671,77.5
BOS_104702,71.8
BOS_104706,58.8
BOS_104707,60.7
BOS_104708,62.7
BOS_104710,38.8
BOS_104711,44.0
BOS_104712,42.9
BOS_104715,35.6
BOS_104717,43.6
BOS_104760,41.0
BOS_104761,80.5
BOS_104762,72.2
BOS_104767,63.3
BOS_104768,32.4
BOS_104770,63.7
BOS_104771,44.1
BOS_104774,42.3
BOS_104775,53.9
BOS_104776,33.0
BOS_104777,71.1
BOS_104781,55.7
BOS_104783,49.8
BOS_104784,60.0
BOS_104791,24.4
BOS_104803,102.3
BOS_104808,18.4
BOS_104809,45.5
BOS_104820,104.5
BOS_104851,116.2
BOS_104852,50.9
BOS_104886,32.8
BOS_104891,58.0
BOS_104892,35.9
BOS_104899,45.8
BOS_104900,59.9
BOS_104911,35.6
BOS_104919,68.1
BOS_104920,37.9
BOS_104934,87.9
BOS_104941,33.9
BOS_104966,108.9
BOS_104967,30.0
BOS_104981,39.3
BOS_104983,44.1
BOS_104986,53.6
BOS_105051,19.3
BOS_105064,56.6
