portfolio_idx,id_building,loc_address,leed_project_url,extracted_name
7793,CA_5888089,"1055 East Colorado Boulevard, Pasadena, CA, 91106",https://www.usgbc.org/projects/1055-e-colorado-blvd,1055 E Colorado Blvd
7799,CA_5904,"601 California Avenue, Palo Alto, CA, 94304",https://www.usgbc.org/projects/601-california-avenue,601 California Avenue
7801,CA_59108993,"1990 North California Boulevard, Walnut Creek, CA, 94596",https://www.usgbc.org/projects/ygnacio-center-i,Ygnacio Center I
7802,CA_59108994,"2001 North Main Street, Walnut Creek, CA, 94596",https://www.usgbc.org/projects/ygnacio-center-iii,Ygnacio Center IIi
7803,CA_59109892,"2033 North Main Street, Walnut Creek, CA, 94596",https://www.usgbc.org/projects/ygnacio-center-ii,Ygnacio Center
7820,CA_5948868,"801 North Brand Boulevard, Glendale, CA, 91203",https://www.usgbc.org/projects/801-n-brand,801 N Brand
7843,CA_6000184,"2175 Park Place, El Segundo, CA, 90245",https://www.usgbc.org/projects/2175-park-place,2175 Park Place
7846,CA_6015928,"1420 Kettner Boulevard, San Diego, CA, 92101",https://www.usgbc.org/projects/edawaecom-san-diego,Edawaecom San Diego
7854,CA_6031284,"1149 South Broadway, Los Angeles, CA, 90015",https://www.usgbc.org/projects/city-la-public-works-building,City La Public Works Building
7891,CA_6057665,"3750 Grand Avenue, Chino, CA, 91710",https://www.usgbc.org/projects/kp-chino-grand-mob,Kp Chino Grand Mob
