1007870067,113.2,32.75648611,under,71.1
1007870072,84.1,23.75498539,under,71.8
1007880004,65.1,20.04395503,under,69.2
1007880011,106.8,20.84322332,under,80.5
1007880037,110.2,30.91522315,under,71.9
1007880049,96.6,44.15528706,under,54.3
1007880066,73.9,22.75446106,under,69.2
1007880073,185.4,21.95161361,under,88.2
1007880078,109.6,14.57227277,under,86.7
1007890009,,67.6,over,51.6
1007890021,96.4,21.36215101,under,77.8
1007890027,,29.1,under,58.9
1007890030,77.7,49.02811068,under,36.9
1007890036,90.3,52.91176205,under,41.4
1007890052,79.6,39.57667078,under,50.3
1007890062,88.7,87.60986515,under,1.2
1007890075,72.4,59.39549018,under,18
1007940017,72.1,88.09610072,over,22.2
1007940025,59,39.82964342,under,32.5
1007950028,83.9,52.60992248,under,37.3
1007950037,95.2,118.3392024,over,24.3
1007950044,70.6,52.85531856,under,25.1
1007970037,118.6,79.9212038,under,32.6
1007970054,86.2,24.18673774,under,71.9
1007990012,68.7,30.53124456,under,55.6
1007990028,107.8,29.52428952,under,72.6
1008000025,90.5,47.8910144,under,47.1
1008000061,100.8,29.06130104,under,71.2
1008000065,133.2,16.91716916,under,87.3
1008000068,69,16.76104458,under,75.7
1008010001,98.5,49.37922013,under,49.9
1008010008,94.2,16.33094029,under,82.7
1008010024,75.7,40.6947048,under,46.2
1008010051,110.6,23.90145353,under,78.4
1008010055,92.1,22.29881373,under,75.8
1008020008,73,36.12654314,under,50.5
1008020056,83.4,18.83714181,under,77.4
1008020075,62,28.976325,under,53.3
1008030004,98.8,23.26794122,under,76.4
1008030021,99.4,30.56664394,under,69.2
1008030067,153.4,17.11065257,under,88.8
1008040001,102.2,72.56625749,under,29
1008040011,117.1,30.53125756,under,73.9
1008040044,104.2,44.88309576,under,56.9
1008050003,64.5,21.78911809,under,66.2
1008050019,62.5,16.34189712,under,73.9
1008050022,,37.1,under,66.5
1008050039,111.7,17.88244762,under,84
1008050094,71.3,5.045112778,under,92.9
1008060001,106.9,29.50591928,under,72.4
1008060006,84.1,143.3343394,over,70.4
1008060009,63.8,40.21635876,under,37
1008060026,69.4,24.86260815,under,64.2
1008060058,88.9,62.48570771,under,29.7
1008070028,101.5,49.47832001,under,51.3
1008070039,99.7,29.89952367,under,70
1008080040,84,31.24662527,under,62.8
1008090053,80.7,43.47027196,under,46.1
1008110001,95.2,44.36122038,under,53.4
1008110010,124.9,47.22290188,under,62.2
1008110016,96.1,46.31766973,under,51.8
1008110021,93.5,42.80108205,under,54.2
1008110031,89.3,37.52279891,under,58
1008110051,97.1,35.76856418,under,63.2
1008110056,108.2,27.99416914,under,74.1
1008110062,89.3,15.55727405,under,82.6
1008120006,86.8,56.10578626,under,35.4
1008120016,138.1,21.24393333,under,84.6
1008120019,100.8,44.82577489,under,55.5
1008120022,114.6,67.08755635,under,41.5
1008120029,58.1,112.7195654,over,94
1008120049,81.7,31.69729355,under,61.2
1008120063,74.4,30.93912083,under,58.4
1008120069,93.2,22.99949385,under,75.3
1008130001,91.8,38.71185217,under,57.8
1008130023,77.2,54.39522956,under,29.5
1008130031,79,50.82462147,under,35.7
1008130050,90.1,51.65031857,under,42.7
1008130055,75.7,30.46942524,under,59.7
1008140001,100.2,33.06969183,under,67
1008140015,101.4,102.4949053,over,1.1
1008140019,111.3,48.12564839,under,56.8
1008140046,93.8,40.1973888,under,57.1
1008140052,102.6,30.65798422,under,70.1
1008150001,103.2,65.47142327,under,36.6
1008150014,74.2,33.73374962,under,54.5
1008150026,113,119.1386496,over,5.4
1008150039,120.3,33.61645815,under,72.1
1008150046,102.9,89.42978488,under,13.1
1008160037,81.7,43.77113835,under,46.4
1008180041,113.5,27.92515845,under,75.4
1008180051,77.9,37.93063274,under,51.3
1008180066,91.9,19.41999625,under,78.9
1008190010,102.1,42.28773381,under,58.6
1008190037,116.5,61.92170439,under,46.8
1008190039,104.5,24.44223396,under,76.6
1008190044,67.5,76.65177547,over,13.6
1008190056,133.6,33.51801167,under,74.9
1008200026,100.4,17.91128318,under,82.2
1008200038,97,51.1851675,under,47.2
1008210014,79.6,72.70381514,under,8.7
1008210032,76.4,52.63444472,under,31.1
1008210038,,82.6,over,21.1
1008210041,82.7,46.59098093,under,43.7
1008210055,116.1,36.99224515,under,68.1
1008220009,114.5,30.99404485,under,72.9
1008220015,124.9,22.40992361,under,82.1
1008220031,96.3,37.37230471,under,61.2
1008220049,98,30.53125636,under,68.8
1008220054,59.1,23.43725633,under,60.3
1008220058,77.4,32.80215936,under,57.6
1008220062,104.3,33.95155219,under,67.4
1008220070,107.1,24.86310934,under,76.8
1008230024,97.7,16.94622608,under,82.7
1008230029,109.6,70.52876131,under,35.6
1008230055,98.2,26.38264199,under,73.1
1008230073,152.7,1.64420117,under,98.9
1008240015,80.4,40.21263117,under,50
1008240028,54.7,39.97142007,under,26.9
1008240032,95,16.60942333,under,82.5
1008250012,102.3,38.63361929,under,62.2
1008250031,125.1,92.18339372,under,26.3
1008260019,103,74.00292214,under,28.2
1008260026,87.1,104.1051473,over,19.5
1008260046,87.5,31.8309932,under,63.6
1008260057,95.1,19.88257147,under,79.1
1008260065,88.3,22.03360369,under,75
1008260069,82.5,18.27056935,under,77.9
1008270008,61.2,63.45499424,over,3.7
1008270028,222.5,69.08075274,under,69
1008270049,233.6,83.29755307,under,64.3
1008270064,106.1,44.60545909,under,58
1008280009,78.1,37.21683785,under,52.3
1008280033,113.7,31.53446766,under,72.3
1008280035,114.6,38.6409847,under,66.3
1008280041,,50.5,under,46.7
1008280056,150,25.39515824,under,83.1
1008290007,92.6,78.41057676,under,15.3
1008290011,76.3,91.31330391,over,19.7
1008290016,56.9,61.11117333,over,7.4
1008290032,73,77.58551511,over,6.3
1008290036,91.9,137.5443182,over,49.7
1008290068,115.6,51.86222943,under,55.1
1008300062,134.1,14.52671909,under,89.2
1008310042,,56.1,under,48.2
1008320017,66.5,39.1026323,under,41.2
1008330006,81.4,26.64067355,under,67.3
1008330011,188.9,73.63237584,under,61
1008330018,75,43.33593011,under,42.2
1008330038,80.5,37.41350068,under,53.5
1008330057,80.9,60.98383363,under,24.6
1008340019,119.9,17.98578625,under,85
1008340022,102,43.8516343,under,57
1008340039,114.3,43.02002662,under,62.4
1008340048,54.1,54.73855922,over,1.2
1008340049,75,84.7794292,over,13
1008340080,83,97.05211815,over,16.9
1008350041,102.7,56.21528475,under,45.3
1008360007,71,56.04123924,under,21.1
1008360010,64.6,28.61031606,under,55.7
1008360020,122.5,55.81178406,under,54.4
1008360026,84.9,43.10831006,under,49.2
1008360033,80.5,27.90860258,under,65.3
1008360035,96,30.74529248,under,68
1008360043,67.8,14.60054555,under,78.5
1008370023,203.6,58.00519846,under,71.5
1008370036,80.3,38.79318909,under,51.7
1008370048,64.7,56.3142395,under,13
1008370056,91.1,48.95241465,under,46.3
1008370058,77.2,56.66066908,under,26.6
1008380008,61.6,36.63043018,under,40.5
1008380012,107.4,70.35342026,under,34.5
1008380015,70,23.84627968,under,65.9
1008380024,76.3,14.42131746,under,81.1
1008380048,107.5,26.07636325,under,75.7
1008380062,120.2,12.27297611,under,89.8
1008380076,105.4,63.13948938,under,40.1
1008390009,107.2,50.05807534,under,53.3
1008390019,49,21.64664203,under,55.8
1008390029,92.3,24.67688333,under,73.3
1008390034,88.5,72.43697604,under,18.2
1008390055,,52.6,under,43.4
1008390060,80.7,25.44963703,under,68.5
1008390070,71.3,30.53127957,under,57.2
1008390073,83,45.75930167,under,44.9
1008400013,80.4,24.18726963,under,69.9
1008400023,70.9,17.35582659,under,75.5
1008400028,152.1,30.53125383,under,79.9
1008400031,41.6,30.53120813,under,26.6
1008400042,123.7,399.6910807,over,223.1
1008400058,106.2,29.15313119,under,72.5
1008400071,94.1,55.89203857,under,40.6
1008410001,81.2,36.92986627,under,54.5
1008410008,,57.1,under,35.8
1008410018,107.4,25.21808234,under,76.5
1008410020,103.7,87.15807613,under,16
1008410027,103.1,77.78588667,under,24.6
1008410031,266.1,97.55454881,under,63.3
1008410049,99.5,65.26159465,under,34.4
1008410054,110.1,81.0588216,under,26.4
1008410081,157.8,31.88852692,under,79.8
1008420023,106.8,53.06674564,under,50.3
1008420042,112.7,41.53922957,under,63.1
1008430020,101.4,46.69621338,under,53.9
1008430045,104.2,74.24532932,under,28.7
1008440001,85.6,30.63219021,under,64.2
1008440003,121.7,38.83952135,under,68.1
1008440042,87.5,64.11635039,under,26.7
1008460026,68.6,31.62675005,under,53.9
1008460033,90.5,44.85000443,under,50.4
1008470001,50.9,44.69793666,under,12.2
1008470016,,93.1,under,19.7
1008470040,93.6,66.28971657,under,29.2
